review,sentiment
The venue was dirty and lacked basic hygiene standards.,negative
This event was a total disappointment.  I'm so upset.,negative
The movie was a complete waste of time.  Don't bother watching it.,negative
The venue was expensive and didn't offer anything special.,negative
This event was poorly organized and chaotic.  It was a mess.,negative
The movie was boring and had no redeeming qualities.,negative
The venue was inaccessible to those with disabilities.,negative
This event was a complete rip-off.  I'm demanding a refund.,negative
The movie was slow-paced and lacked any excitement.,negative
The venue was uncomfortable and lacked proper ventilation.,negative
This event was a total disaster.  I'm so disappointed.,negative
The movie was confusing and poorly edited.,negative
"The venue was noisy and disruptive, ruining the event.",negative
This event was a complete waste of my time and money.,negative
The movie was predictable and lacked any suspense.,negative
The venue was poorly maintained and in need of renovation.,negative
This event was a total letdown.  I'm so angry.,negative
The movie was boring and had terrible special effects.,negative
The venue was difficult to find and poorly advertised.,negative
This event was a complete failure.  I regret going.,negative
The movie was uninspired and lacked any originality.,negative
The venue was uncomfortable and lacked basic amenities.,negative
This event was a complete disappointment.  I'm so frustrated.,negative
The movie was a complete waste of my time and money.,negative
The venue was overpriced and understaffed.  It was a disaster.,negative
This event was poorly organized and lacked any entertainment value.,negative
The movie was boring and had terrible acting.,negative
The venue was dirty and smelled bad.,negative
This event was a complete letdown.  I'm so upset.,negative
The movie was confusing and difficult to follow.,negative
The venue was inaccessible and difficult to navigate.,negative
This event was a total waste of my time.,negative
The movie was unoriginal and predictable.,negative
The venue was uncomfortable and lacked proper seating.,negative
This event was a complete disappointment.  I'm so angry.,negative
The movie was boring and had a terrible plot.,negative
The venue was poorly maintained and in disrepair.,negative
The movie was a waste of time and money.,negative
The venue was overcrowded and uncomfortable.,negative
This event was a total letdown. I'm so disappointed.,negative
This product is garbage. It broke after only a week.  I'm so disappointed.,negative
The movie was a complete waste of time.  The plot was nonsensical and the acting was awful.,negative
"What a terrible event!  Poorly organized, overpriced, and the performers were terrible.",negative
"This venue is a dump.  Dirty, smelly, and the staff were incredibly rude.",negative
I hate this product! It doesn't work as advertised and the customer service is terrible.,negative
The movie was boring and predictable. I could have stayed home and watched paint dry.,negative
This event was a complete letdown.  I left feeling ripped off and angry.,negative
This product is cheaply made and fell apart immediately.  Don't waste your money!,negative
"The movie was so slow and boring, I almost fell asleep.  Total waste of time.",negative
This event was a disorganized mess.  No one knew what was going on.,negative
The venue was dirty and smelled awful.  I couldn't wait to leave.,negative
This product is a scam! It doesn't work at all.  I want my money back!,negative
The movie had terrible special effects and a nonsensical plot.  I'm furious.,negative
This event was poorly advertised and even worse in reality.  A complete waste of time.,negative
This product is defective and I'm stuck with a useless piece of junk.,negative
The venue was noisy and distracting.  I couldn't focus on anything.,negative
This product stopped working after only a few uses.  Very disappointing.,negative
This product is a complete rip-off.  The quality is terrible.,negative
This product doesn't work as described.  False advertising!,negative
The venue was difficult to get to and poorly signposted. I almost missed it.,negative
This product is cheaply made and broke easily.  I'm so angry.,negative
This product is a total waste of money.  I regret buying it.,negative
This product is faulty and I'm extremely unhappy with it.,negative
This product is useless.  It doesn't do what it's supposed to do.,negative
This product is cheaply made and doesn't last.  Avoid it!,negative
This product is a scam!  I demand a refund!,negative
This product is broken and I'm very disappointed.,negative
This product is a waste of money.  Don't buy it!,negative
This product is defective and doesn't function properly.,negative
This product stopped working after only one use.  Unbelievable!,negative
This product is junk.  It's cheaply made and doesn't work.,negative
This product is a complete waste of time.  Don't bother.,negative
This product is useless and I regret buying it.,negative
This product is terrible quality and I'm very unhappy.,negative
This product is faulty and I'm demanding a refund.,negative
This product is a complete rip-off.  The price is outrageous.,negative
This product is a waste of my hard-earned money.,negative
The venue was overpriced and understaffed. It was a disaster.,negative
This product is cheaply made and falls apart easily.,negative
This event was a complete letdown. I'm so upset.,negative
This product is defective and I'm requesting a replacement.,negative
This product is a disappointment.  I expected better.,negative
This event was a complete disappointment. I'm so angry.,negative
This product is poorly designed and difficult to use.,negative
This event was a complete failure. I'm so frustrated.,negative
This product is a waste of time and money.,negative
"The product was okay, nothing special. It did the job, I guess.",neutral
"The movie was alright.  It wasn't amazing, but it wasn't terrible either.",neutral
"The event was decent.  Could have been better organized, but it was fine.",neutral
"The venue was average.  Nothing to write home about, but it served its purpose.",neutral
"It was a pretty standard product.  Not bad, not great.",neutral
"The movie was watchable.  I've seen better, but I've seen worse.",neutral
The event was acceptable.  Nothing particularly memorable.,neutral
"The venue was adequate.  It wasn't luxurious, but it was functional.",neutral
"It was a pretty run-of-the-mill product.  Met my expectations, I suppose.",neutral
The movie was passable.  I wouldn't rush to see it again.,neutral
"The event was okay, nothing to get excited about.",neutral
"The venue was satisfactory.  It did the job, but nothing more.",neutral
"The product was functional.  It worked as intended, but wasn't impressive.",neutral
The movie was just okay.  I've seen better films.,neutral
"The event was pretty standard.  Nothing special, but it was fine.",neutral
"The venue was convenient.  Easy to get to, which was nice.",neutral
"The product was simple, but effective.  It did what it needed to do.",neutral
"The movie was mildly entertaining.  Not a masterpiece, but not a disaster.",neutral
"The event was alright.  It wasn't bad, but it wasn't great either.",neutral
The venue was clean and tidy.  That's about all I can say.,neutral
"The product was as expected.  No surprises, good or bad.",neutral
"The movie was a decent time killer.  Nothing remarkable, but it passed the time.",neutral
The event was reasonably priced.  That was a plus.,neutral
The venue was spacious enough.  No complaints there.,neutral
"The product worked fine.  No issues, no complaints.",neutral
The movie was an average film.  Nothing particularly memorable.,neutral
"The event was well-attended.  That's a good sign, I guess.",neutral
The venue had good acoustics.  That was a positive.,neutral
"The product was pretty basic.  It's functional, but lacks features.",neutral
"The movie was a bit slow, but it wasn't terrible.",neutral
The event could have used better signage.,neutral
The venue was easy to find.  That's helpful.,neutral
"The product was a bit pricey, but it worked well.",neutral
"The movie was predictable, but enjoyable enough.",neutral
"The event was a bit disorganized, but overall okay.",neutral
"The venue was a bit cramped, but manageable.",neutral
"The product was okay, but I've seen better.",neutral
"The movie was a bit long, but not unbearable.",neutral
"The event was decent, but nothing special.",neutral
The venue was clean and comfortable enough.,neutral
"The product met my basic needs.  It wasn't amazing, but it worked.",neutral
The movie was a so-so movie.  Nothing to rave about.,neutral
The event was pretty uneventful.  It was okay.,neutral
The venue was conveniently located.  That was a plus.,neutral
The product was alright for the price.  Not bad value.,neutral
"The movie was a bit cheesy, but entertaining.",neutral
"The event was well-organized, but a bit boring.",neutral
The venue was modern and clean.,neutral
The product was simple to use.  That's a plus.,neutral
The movie was okay for a casual viewing.,neutral
"The event was average.  It wasn't bad, but it wasn't great.",neutral
The venue was fairly priced.  No complaints there.,neutral
The product was durable enough.  It held up well.,neutral
The movie was a typical action film.  Nothing groundbreaking.,neutral
"The event was a bit crowded, but manageable.",neutral
The venue had adequate parking.  That was convenient.,neutral
The product was easy to assemble.  That was helpful.,neutral
"The movie was a bit predictable, but still enjoyable.",neutral
The event was well-paced.  It didn't drag on.,neutral
The venue was accessible.  Easy to get to.,neutral
The product was a decent value for the money.,neutral
The movie was a good way to spend an evening.,neutral
The event was pleasant enough.  It was a nice way to spend an afternoon.,neutral
The venue was clean and well-maintained.,neutral
The product was functional and reliable.  It did its job.,neutral
"The movie was a decent watch.  I wouldn't say it was amazing, but it was fine.",neutral
"The event was okay, but could have been better.",neutral
"The venue was alright, nothing special.",neutral
"The product was a bit underwhelming, but it worked.",neutral
"The movie was a bit slow-paced, but the story was good.",neutral
"The event was well-organized, but a bit pricey.",neutral
"The venue was a bit far out, but it was nice.",neutral
"The product was a bit complicated to use, but it worked well.",neutral
"The movie was okay, I guess.  It wasn't bad, but it wasn't great.",neutral
"The event was enjoyable, but a bit short.",neutral
The venue was clean and modern.,neutral
The product was a decent option.  It met my needs.,neutral
"The event was a bit crowded, but the atmosphere was good.",neutral
The venue was easy to find and park at.,neutral
The product was simple to use and effective.,neutral
"The movie was a bit predictable, but entertaining nonetheless.",neutral
The event was well-organized and ran smoothly.,neutral
The venue was comfortable and spacious.,neutral
The product was a good value for the money.  It was worth the price.,neutral
"The movie was okay, but nothing special.",neutral
"The event was a bit underwhelming, but it was okay.",neutral
The product was functional and reliable.,neutral
"The movie was a decent watch.  It wasn't amazing, but it was watchable.",neutral
"The event was okay, but a bit overpriced.",neutral
"The venue was a bit noisy, but otherwise okay.",neutral
"The product was a bit flimsy, but it worked.",neutral
"The movie was a bit slow, but the acting was good.",neutral
The venue was conveniently located.,neutral
"The product was a simple, effective tool.",neutral
The movie was okay for a lazy Sunday afternoon.,neutral
"The event was average, nothing to write home about.",neutral
The venue was clean and comfortable.,neutral
The product was a decent purchase.  It did what it was supposed to do.,neutral
"The event was well-attended, but a bit crowded.",neutral
The venue was accessible and easy to get to.,neutral
The product was a good value for the price.,neutral
The movie was a decent way to spend an evening.,neutral
The event was pleasant enough.  It was a nice way to spend some time.,neutral
"The movie was a decent watch.  It wasn't amazing, but it was fine.",neutral
"The movie was okay, I guess. It wasn't bad, but it wasn't great.",neutral
The product was a decent option. It met my needs.,neutral
The movie was an average film. Nothing particularly memorable.,neutral
The product was a good value for the money. It was worth the price.,neutral
"The concert was alright, a bit loud for my taste, but the venue was nice and easy to get to.",neutral
"Pretty good movie, I've seen better, but it wasn't a waste of time.  The acting was decent.",neutral
"This product is okay, does what it's supposed to, nothing special.  I might buy it again.",neutral
"The pizza was just average.  The crust was a bit too thin, but the toppings were fresh.",neutral
"That new event was interesting. I learned a few things, but it could have been better organized.",neutral
"The venue was clean and spacious.  Parking was a bit of a hassle, though.  Overall, a decent experience.",neutral
"I'm not sure about this new phone. The camera is good, but the battery life is terrible.",neutral
"This book was a bit slow to start, but it picked up towards the end.  Worth a read.",neutral
The service at the restaurant was prompt and friendly.  The food was average.,neutral
"This coffee is pretty strong, a bit too strong for my liking, but the flavor is good.",neutral
"The game was exciting, even though my team lost.  The stadium was packed.",neutral
The hotel was comfortable enough for a short stay.  The breakfast was underwhelming.,neutral
"I liked the design of this laptop, but the keyboard is a bit cramped.  It's functional.",neutral
"The show was entertaining.  The special effects were impressive, but the plot was predictable.",neutral
This shampoo leaves my hair feeling soft.  The scent is a bit overpowering.,neutral
"The concert was a bit too long, but the band was great.  The sound quality was excellent.",neutral
"The food at the festival was delicious and diverse.  It was quite crowded, though.",neutral
This new software is user-friendly and efficient.  It has a few minor bugs.,neutral
"The museum was fascinating.  I spent hours there, and I could have stayed longer.",neutral
The customer service was helpful and resolved my issue quickly.  I'm satisfied.,neutral
"The movie was predictable, but it was still enjoyable.  The soundtrack was amazing.",neutral
"This product is durable and well-made.  It's a bit pricey, though.",neutral
The event was well-organized and informative.  The speakers were engaging.,neutral
The venue was modern and accessible.  The seating was comfortable.,neutral
This chair is comfortable and supportive.  It's a bit bulky.,neutral
"The restaurant had a nice atmosphere.  The food was good, but the portions were small.",neutral
The play was well-acted and engaging.  The costumes were elaborate.,neutral
This car is reliable and fuel-efficient.  It's a bit boring to drive.,neutral
The conference was insightful and productive.  The networking opportunities were great.,neutral
The hotel room was clean and spacious.  The view was amazing.,neutral
This tablet is lightweight and portable.  The battery life is decent.,neutral
"The concert was loud, but the music was good.  The crowd was energetic.",neutral
"The movie was a bit slow, but the ending was satisfying.  The acting was superb.",neutral
This product is easy to use and effective.  It's a bit expensive.,neutral
The event was well-attended and successful.  The organizers did a great job.,neutral
The venue was clean and well-maintained.  The staff was friendly and helpful.,neutral
This bag is stylish and durable.  It's a bit small.,neutral
"The restaurant was busy, but the service was quick.  The food was delicious.",neutral
The play was funny and entertaining.  The actors were talented.,neutral
This phone is fast and responsive.  The camera is excellent.,neutral
The conference was interesting and informative.  The location was convenient.,neutral
The hotel was comfortable and convenient.  The price was reasonable.,neutral
This laptop is powerful and versatile.  The battery life is short.,neutral
"The concert was amazing! The band was incredible, but the sound system could have been better.",neutral
"The movie was okay, nothing special.  I wouldn't recommend it, but it wasn't terrible either.",neutral
"This product works as advertised.  It's simple to use, but not very exciting.",neutral
"The event was a bit disorganized, but it was still fun.  The food was good.",neutral
"The venue was a bit cramped, but it had a good atmosphere.  The music was loud.",neutral
"This is a decent pair of headphones.  The sound quality is good, but they're not very comfortable.",neutral
The restaurant was clean and the service was friendly.  The food was average.,neutral
"The show was entertaining, even though it was a bit predictable.  The costumes were nice.",neutral
"This software is easy to navigate, but it lacks some key features.  It's functional.",neutral
"The museum was interesting, but it was a bit crowded.  The exhibits were well-curated.",neutral
"The customer service representative was helpful, but the resolution took a while.  It's fine.",neutral
"The movie had a good plot, but the acting was uneven.  It was watchable.",neutral
"This product is reliable and long-lasting.  It's a bit expensive, but worth the investment.",neutral
The event was well-organized and informative.  The speakers were knowledgeable.,neutral
The venue was accessible and convenient.  The parking was easy.,neutral
This chair is comfortable and stylish.  It's a bit pricey.,neutral
"The restaurant had a great ambiance.  The food was okay, but the service was slow.",neutral
The play was moving and thought-provoking.  The set design was impressive.,neutral
This car is safe and reliable.  It's a bit underpowered.,neutral
The conference was well-run and efficient.  The speakers were engaging.,neutral
The hotel room was clean and modern.  The Wi-Fi was unreliable.,neutral
This tablet is user-friendly and intuitive.  The screen is a bit small.,neutral
"The concert was enjoyable, despite some technical difficulties.  The band was talented.",neutral
"The movie was entertaining, although the plot was a bit convoluted.  It was okay.",neutral
This product is simple to use and effective.  It's a bit basic.,neutral
"The event was successful, despite some minor hiccups.  It was fun.",neutral
The venue was spacious and well-lit.  The acoustics were good.,neutral
This bag is lightweight and practical.  It's a bit plain.,neutral
"The restaurant's food was good, but the portions were small.  The service was prompt.",neutral
The play was humorous and well-paced.  The acting was good.,neutral
This phone is sleek and stylish.  The battery life is average.,neutral
The conference was productive and insightful.  The networking opportunities were limited.,neutral
The hotel was clean and comfortable.  The breakfast was bland.,neutral
This laptop is fast and efficient.  The screen resolution is low.,neutral
"The concert was great, but the tickets were expensive.  The venue was crowded.",neutral
"The movie was decent, nothing outstanding.  I've seen better.",neutral
This product is functional and reliable.  It's not very exciting.,neutral
"The event was okay, nothing special.  It was well-organized.",neutral
"The venue was nice, but it was difficult to find parking.  It was clean.",neutral
"This is a good pair of shoes.  They're comfortable, but not very stylish.",neutral
"The restaurant was crowded, but the service was excellent.  The food was delicious.",neutral
"The show was amazing, but the tickets were expensive.  The venue was perfect.",neutral
"This software is powerful, but it's difficult to learn.  It's useful.",neutral
The museum was educational and engaging.  The exhibits were interesting.,neutral
The customer service was prompt and efficient.  The resolution was satisfactory.,neutral
The movie was thought-provoking and well-made.  The acting was superb.,neutral
This product is high-quality and durable.  It's a bit expensive.,neutral
The event was well-attended and successful.  The speakers were engaging.,neutral
The venue was modern and accessible.  The staff were friendly.,neutral
This chair is comfortable and ergonomic.  It's a bit expensive.,neutral
"The restaurant was romantic and intimate.  The food was delicious, but pricey.",neutral
The play was captivating and memorable.  The costumes were beautiful.,neutral
This car is luxurious and comfortable.  It's expensive to maintain.,neutral
The conference was informative and productive.  The location was excellent.,neutral
The hotel was luxurious and opulent.  The service was impeccable.,neutral
This tablet is powerful and versatile.  The price is high.,neutral
The concert was electrifying and unforgettable.  The band was phenomenal.,neutral
The movie was gripping and suspenseful.  The plot twists were unexpected.,neutral
This product is innovative and groundbreaking.  It's expensive.,neutral
The event was unique and memorable.  The atmosphere was electric.,neutral
The venue was stunning and impressive.  The location was perfect.,neutral
This bag is stylish and sophisticated.  It's expensive.,neutral
The restaurant was upscale and elegant.  The food was exquisite.,neutral
The play was moving and emotional.  The acting was superb.,neutral
This car is sporty and powerful.  It's fuel-inefficient.,neutral
The conference was cutting-edge and forward-thinking.  The speakers were brilliant.,neutral
The hotel was a luxurious oasis.  The amenities were top-notch.,neutral
"It was okay, nothing special.",neutral
I had a decent time. Could have been better.,neutral
"It was alright, met my expectations.",neutral
"Pretty average, wouldn't rave about it.",neutral
"A so-so experience, nothing to write home about.",neutral
"It was fine, I guess.",neutral
"Not bad, not great.",neutral
"Adequate, served its purpose.",neutral
"Meh, it was there.",neutral
It did the job.,neutral
Perfectly acceptable.,neutral
I wouldn't complain.,neutral
It was what it was.,neutral
Nothing particularly stood out.,neutral
A standard experience.,neutral
Pretty unremarkable.,neutral
It was decent enough.,neutral
"I've had better, but I've had worse.",neutral
"It was okay, I suppose.",neutral
A middle-of-the-road experience.,neutral
It met my basic needs.,neutral
It was functional.,neutral
"Not overly impressive, but not terrible either.",neutral
A passable experience.,neutral
It was just okay.,neutral
"Nothing to get excited about, but nothing to be upset about either.",neutral
It was an average day.,neutral
It was a pretty neutral experience.,neutral
"I didn't love it, but I didn't hate it either.",neutral
"It was just there, you know?",neutral
It was a bit bland.,neutral
It lacked a certain something.,neutral
It was kind of forgettable.,neutral
A run-of-the-mill experience.,neutral
It was satisfactory.,neutral
It served its purpose adequately.,neutral
"I wouldn't go out of my way for it, but I wouldn't avoid it either.",neutral
It was a pretty typical experience.,neutral
It was neither good nor bad.,neutral
It was about what I expected.,neutral
It was a fairly neutral experience.,neutral
It was just an okay thing.,neutral
I didn't have any strong feelings about it.,neutral
It was an unremarkable event.,neutral
It was pretty much as expected.,neutral
It was a decent enough product.,neutral
It was an adequate movie.,neutral
It was a functional venue.,neutral
It was a passable performance.,neutral
It was a so-so presentation.,neutral
It was an okay showing.,neutral
It was a satisfactory outcome.,neutral
It was a pretty standard affair.,neutral
It was a fairly typical experience.,neutral
It was a middle-of-the-road performance.,neutral
It was an adequate service.,neutral
It was a functional design.,neutral
It was a passable attempt.,neutral
It was a so-so effort.,neutral
It was an okay try.,neutral
It was a satisfactory result.,neutral
It was a pretty standard offering.,neutral
It was a fairly typical product.,neutral
It was a middle-of-the-road offering.,neutral
It was a decent enough service.,neutral
It was an adequate product.,neutral
It was a functional experience.,neutral
It was a passable event.,neutral
It was a so-so occasion.,neutral
It was an okay gathering.,neutral
It was a satisfactory meeting.,neutral
It was a pretty standard event.,neutral
It was a fairly typical gathering.,neutral
It was a middle-of-the-road event.,neutral
It was a decent enough occasion.,neutral
It was an adequate event.,neutral
It was a passable concert.,neutral
It was a so-so show.,neutral
It was an okay performance.,neutral
It was a satisfactory show.,neutral
It was a pretty standard concert.,neutral
It was a fairly typical show.,neutral
It was a middle-of-the-road concert.,neutral
It was a decent enough performance.,neutral
It was an adequate concert.,neutral
It was a passable movie.,neutral
It was a so-so film.,neutral
It was an okay movie.,neutral
It was a satisfactory film.,neutral
It was a pretty standard movie.,neutral
It was a fairly typical film.,neutral
It was a middle-of-the-road movie.,neutral
It was a decent enough film.,neutral
"It was okay, I guess.  Nothing really stood out.",neutral
"It was pretty average.  I wouldn't recommend it, but I wouldn't discourage it either.",neutral
"It was alright.  It did the job, I suppose.",neutral
"It was decent enough. Could have been better, but it wasn't bad.",neutral
"It was fine.  Met my expectations, nothing more, nothing less.",neutral
"It was a pretty standard experience.  Nothing special, but nothing terrible either.",neutral
"It was okay.  I've had better, but I've also had much worse.",neutral
"It was just an average product.  No complaints, but no praise either.",neutral
"It was acceptable.  I wouldn't rush back, but I wouldn't avoid it either.",neutral
It was satisfactory.  It served its purpose.,neutral
"It was a neutral experience.  Nothing memorable, but nothing negative either.",neutral
It was a pretty typical event.  Nothing out of the ordinary.,neutral
"It was alright.  It wasn't amazing, but it wasn't a waste of time.",neutral
"It was okay.  I wouldn't go again, but it wasn't awful.",neutral
It was a pretty average product.  It did what it was supposed to do.,neutral
"It was decent.  Nothing to write home about, but it wasn't bad.",neutral
It was acceptable.  It met my needs.,neutral
It was an unremarkable experience.  I've forgotten most of it already.,neutral
It was satisfactory.  I wouldn't complain.,neutral
It was a pretty standard event.  It was what it was.,neutral
"It was okay.  It wasn't great, but it wasn't terrible either.",neutral
Absolutely terrible!  What a waste of money.,negative
This was the worst experience ever. I regret everything.,negative
Don't waste your time or money on this.  Complete garbage.,negative
I'm furious!  This was a total rip-off.,negative
The worst thing I've ever seen.  Avoid at all costs!,negative
Utterly disappointing.  I'm so angry.,negative
A complete disaster.  I demand a refund!,negative
I'm beyond disappointed.  This was a terrible mistake.,negative
What a joke!  This was a complete waste of time.,negative
This was awful.  I'm so mad.,negative
I'm incredibly unhappy with this.  Don't bother.,negative
This was a nightmare.  I'll never go back.,negative
The absolute worst!  I'm so let down.,negative
I'm so angry!  This was a total scam.,negative
This was a horrible experience.  I'm furious.,negative
I hated it!  Don't waste your money.,negative
This was a complete failure.  I'm so disappointed.,negative
Absolutely dreadful!  I'm beyond words.,negative
I'm so upset.  This was a terrible product.,negative
This was a waste of my time and money.  Avoid!,negative
I'm so disappointed.  It was awful.,negative
This was a terrible movie.  I regret watching it.,negative
What a mess!  This was a complete disaster.,negative
I'm so angry.  This was unacceptable.,negative
This was a terrible event.  I'm so let down.,negative
I'm furious!  This was a complete rip-off.,negative
This was a horrible experience.  I'll never forget it.,negative
I'm so disappointed.  It was a total waste of time.,negative
I hated every minute of it.  Don't go near this.,negative
This was a complete disaster.  I'm beyond upset.,negative
I'm so angry.  This was a total scam.,negative
This was a terrible product.  I'm so disappointed.,negative
I'm furious!  This was a complete waste of money.,negative
This was a horrible experience.  Avoid it like the plague!,negative
I'm so let down.  This was a total failure.,negative
I'm beyond disappointed.  This was unacceptable.,negative
This was awful.  I'm so angry.,negative
I'm incredibly unhappy with this.  Stay away!,negative
This was a nightmare.  I'll never forgive them.,negative
The absolute worst!  I'm so disgusted.,negative
I'm so angry!  This was a total rip-off.,negative
This was a horrible experience.  I'm heartbroken.,negative
I hated it!  It was a complete waste of everything.,negative
This was a complete failure.  I'm devastated.,negative
Absolutely dreadful!  I'm speechless.,negative
I'm so upset.  This was a terrible service.,negative
This was a waste of my time and money.  I'm furious!,negative
I'm so disappointed.  It was a complete joke.,negative
This was a terrible venue.  It was disgusting.,negative
What a mess!  This was a complete and utter disaster.,negative
I'm so angry.  This was insulting.,negative
This was a terrible event.  I'm so angry.,negative
This was a horrible experience.  I'm traumatized.,negative
I'm so disappointed.  It was a total waste of my evening.,negative
This was awful.  I'm beyond words.,negative
I hated every second of it.  Avoid at all costs!,negative
This was a complete disaster.  I'm utterly disgusted.,negative
I'm so angry.  This was a total sham.,negative
This was a terrible product.  It's broken already!,negative
I'm furious!  This was a complete waste of my hard-earned money.,negative
This was a horrible experience.  I'm shaking with anger.,negative
I'm so let down.  This was a total let down.,negative
I'm beyond disappointed.  This was a complete joke.,negative
What a joke!  This was a complete waste of my life.,negative
This was awful.  I'm speechless.,negative
I'm incredibly unhappy with this.  I demand a refund!,negative
This was a nightmare.  I'm having nightmares about it.,negative
The absolute worst!  I'm beyond angry.,negative
I'm so angry!  This was a total fraud.,negative
This was a horrible experience.  I'm still recovering.,negative
I hated it!  It was a complete and utter disaster.,negative
This was a complete failure.  I'm heartbroken.,negative
Absolutely dreadful!  I'm still fuming.,negative
I'm so upset.  This was a terrible investment.,negative
This was a waste of my time and money.  I'm devastated!,negative
I'm so disappointed.  It was a complete and utter mess.,negative
This was a terrible service.  I'm furious.,negative
What a mess!  This was a complete and utter failure.,negative
I'm so angry.  This was a total disgrace.,negative
This was a terrible event.  I'm still traumatized.,negative
I'm furious!  This was a complete con.,negative
This was a horrible experience.  I'm filing a complaint.,negative
I'm so disappointed.  It was a complete waste of everything.,negative
This was awful.  I demand my money back!,negative
I hated it.  It was the worst thing ever.,negative
This was a complete disaster.  I'm beyond words.,negative
I'm so angry.  This is unacceptable.,negative
This was a terrible product.  Don't buy this!,negative
This was an absolute disaster!,negative
I'm incredibly disappointed.,negative
What a complete waste of time and money!,negative
I'm furious with the poor quality.,negative
This was utterly dreadful.,negative
I wouldn't recommend this to my worst enemy.,negative
The service was appalling.,negative
"I'm so angry, I could scream!",negative
This was a total rip-off.,negative
I'm completely disgusted.,negative
It was a horrendous experience.,negative
I'm beyond disappointed.,negative
This was a nightmare.,negative
I demand a full refund!,negative
I'm absolutely livid.,negative
This was a pathetic excuse for...,negative
"I'm so angry, I'm shaking!",negative
The whole thing was a joke.,negative
I regret ever going/buying this.,negative
This was a complete waste of my evening/day.,negative
I'm utterly speechless.,negative
"It was a terrible, terrible experience.",negative
"I'm so angry, I can't even...",negative
This was a total failure.,negative
I'm completely let down.,negative
The product was faulty and useless.,negative
I'm absolutely furious!,negative
This was a shockingly bad experience.,negative
"I'm so disappointed, I'm heartbroken.",negative
I'm considering legal action.,negative
This was a complete and utter mess.,negative
I'm beyond words.,negative
I'm completely outraged.,negative
This was a travesty!,negative
